timestamp,bitcoin-aggregate-security-spend-thermocap-usd,bitcoin-balanced-price-usd,bitcoin-block-height,bitcoin-circulating-supply-btc,bitcoin-cumulative-value-days-destroyed-cvdd,bitcoin-delta-cap-usd,bitcoin-investor-capitalization,bitcoin-market-cap-usd,bitcoin-market-value-to-realized-value-ratio-mvrv,bitcoin-median-value-of-created-utxos-btc,bitcoin-median-value-of-spent-utxos-btc,bitcoin-mining-difficulty,bitcoin-mvrv-z-score,bitcoin-number-of-addresses-with-balance-0-1,bitcoin-number-of-addresses-with-balance-0-01,bitcoin-number-of-addresses-with-balance-1,bitcoin-number-of-addresses-with-balance-1k,bitcoin-number-of-addresses-with-balance-10,bitcoin-number-of-addresses-with-balance-10k,bitcoin-number-of-addresses-with-balance-100,bitcoin-number-of-addresses,bitcoin-number-of-utxos-in-profit,bitcoin-percent-of-supply-last-active-3-years-ago,bitcoin-price-drawdown-from-ath,bitcoin-realized-cap-usd,bitcoin-realized-price-usd,bitcoin-relative-unrealized-profit,bitcoin-stock-to-flow-ratio-usd,bitcoin-total-supply-last-active-3y-5y-btc,bitcoin-total-supply-last-active-5y-7y-btc
2016-01-02,1501749616.6437666,232.9414453537686,391461.0,15036550.0,169.51377027422,2130787810.1984875,3017968695.135763,6539732719.549761,1.4469336955149534,0.01001274,0.01010756,4.4616266649971694e+20,0.707027928597788,1228807.0,2371436.0,517686.0,1733.0,139893.0,103.0,16614.0,115810686.0,28121748.0,0.234676037873357,-0.6259187800815987,4519718311.77953,300.5821356481061,0.419199676715881,407.818292877048,1518358.1762608,2010309.8010239
2016-01-03,1503309977.2296407,233.1084806070625,391606.0,15040175.0,169.551559193654,2132321430.3054717,3019991720.2466087,6482312384.283506,1.4330930850578183,0.0096,0.01959299,4.4616266649971694e+20,0.686532070397241,1231410.0,2376923.0,517898.0,1731.0,139807.0,103.0,16605.0,115983606.0,27821500.0,0.234754534677754,-0.6292926678049273,4523301697.47625,300.74794325705983,0.416285895241188,408.60217190789,1519817.48257317,2010881.8010239
2016-01-04,1505269000.706611,233.31743587642055,391787.0,15044700.0,169.582557324146,2134635361.2502315,3022417170.768249,6527925288.764945,1.4417795407048988,0.02302004,0.01954084,4.4616266649971694e+20,0.6994535828489,1235237.0,2385360.0,518342.0,1733.0,139857.0,103.0,16607.0,116198416.0,28060343.0,0.235872326978568,-0.6267964615153916,4527686171.47486,300.9489169923535,0.417303534463198,408.816902166952,1536922.62218085,2011655.77551368
2016-01-05,1506968570.8538668,233.46398126563125,391944.0,15048625.0,169.65223454061,2136110714.750834,3024256741.463304,6518561706.298018,1.438586973059737,0.02308509,0.02514792,4.4616266649971694e+20,0.694940151802768,1234671.0,2384439.0,517609.0,1737.0,139809.0,102.0,16692.0,116419547.0,27773959.0,0.236058531226387,-0.6274289802266808,4531225312.31717,301.1056034898318,0.415947675099801,409.175571656219,1540404.54896309,2011901.76551368
2016-01-06,1508488702.081726,233.59877979454268,392085.0,15052150.0,169.693939399899,2137174818.9934156,3025838807.6020937,6471300845.702089,1.4271798479226605,0.03554127,0.02756217,4.4616266649971694e+20,0.677146503881634,1237123.0,2392710.0,518111.0,1752.0,139586.0,102.0,16687.0,116624714.0,27523321.0,0.236092208741564,-0.6302168120107174,4534327509.68382,301.2411854574808,0.414372138917804,409.952007129118,1541396.02429571,2012249.31551368
2016-01-07,1510139516.233525,234.23803624199525,392232.0,15055825.0,170.920813604742,2152765647.8306813,3042032247.3980646,6906256336.809324,1.5171343911020867,0.02223655,0.02885183,4.4616266649971694e+20,0.827170314079233,1240458.0,2402158.0,519686.0,1734.0,139741.0,103.0,16714.0,116851406.0,29781478.0,0.23472283838438,-0.6054589052730726,4552171763.63159,302.3528610110432,0.432612687323845,410.13450403888,1521215.26270489,2012680.71551368
2016-01-08,1512109606.2733605,234.5257662769772,392405.0,15060150.0,171.236654053577,2157789892.4324465,3047303537.04432,6838110554.620013,1.4997786644191289,0.0220327,0.02082193,4.4616266649971694e+20,0.792138268180086,1237977.0,2402221.0,518836.0,1737.0,139811.0,104.0,16743.0,117067608.0,29275738.0,0.234731515621142,-0.6094641292679064,4559413143.31768,302.74686130733625,0.428729861375873,409.898293692846,1521746.58946812,2012645.24551368
2016-01-09,1513812743.0702767,234.6856870082674,392556.0,15063925.0,171.237767470666,2158907925.437274,3048901449.419733,6774204634.392284,1.48468747955817,0.00714633,0.0122218,4.4616266649971694e+20,0.773381015359305,1235954.0,2405979.0,518992.0,1734.0,139852.0,105.0,16763.0,117288723.0,28956763.0,0.234790710221226,-0.6132108558485363,4562714192.49001,302.89012939788336,0.42544693458572,409.988956090548,1522770.9234699,2010348.72599944
2016-01-10,1515763643.683925,235.15951968399315,392731.0,15068300.0,171.495428576801,2166444266.42163,3056663118.2311954,6764968062.323505,1.4795137056476455,0.0089813,0.01417434,4.4616266649971694e+20,0.765341626050193,1237004.0,2409416.0,519379.0,1738.0,139993.0,105.0,16795.0,117492140.0,29060061.0,0.234596973340371,-0.6138503886801709,4572426761.91512,303.4467565627921,0.423780085794202,409.707237863285,1519871.01738534,2006756.55599944
2016-01-11,1517666824.6484735,235.51397846142928,392901.0,15072550.0,171.608914609379,2171294141.3429937,3061782879.066616,6762981587.099079,1.4768109761337904,0.02172504,0.02081654,4.4616266649971694e+20,0.761905012691939,1237713.0,2412947.0,519661.0,1738.0,139810.0,105.0,16827.0,117723289.0,28951870.0,0.234625801509825,-0.614072628679126,4579449703.71509,303.8271363316154,0.422038015392048,409.742953878491,1519961.72854754,2003418.39599944
